,Date,0,1,2,3,4,5,6,7,8,9
148,2025-01-14,MPHASIS,1357.0,25,2,2733.60,2770.05,2780.25,2822.75,2876.40,0
149,2025-01-14,MRF,3330.0,250,5,null,112790.45,113621.70,114041.15,114235.10,2
150,2025-01-14,MUTHOOTFIN,2211.0,10,0,2124.70,2127.65,2123.85,2150.65,2174.15,0
151,2025-01-14,NATIONALUM,2523.0,1.25,0,192.10,195.65,199.51,198.10,200.45,0
152,2025-01-14,NAUKRI,6173.0,50,4,7239.35,7334.65,7457.75,7434.35,7532.60,0
153,2025-01-14,NAVINFLUOR,1191.0,25,0,3568.10,3616.60,3631.85,3667.00,3713.00,1
154,2025-01-14,NCC,1133.0,2.5,1,,,246.5,,,0
155,2025-01-14,NESTLEIND,2083.0,10,0,2211.00,2229.10,2219.05,2248.85,2267.65,1
156,2025-01-14,NHPC,1397.0,0.5,4,71.50,72.55,76.39,74.45,74.50,0
157,2025-01-14,NMDC,2314.0,0.5,4,null,61.49,61.89,62.24,null,0
158,2025-01-14,NTPC,7808.0,2.5,0,301.25,306.25,310.4,310.90,315.70,0
159,2025-01-14,NYKAA,1541.0,1.25,3,161.02,164.12,164.93,165.32,167.82,0
160,2025-01-14,OBEROIRLTY,3270.0,10,5,1955.70,1977.30,1975.25,1999.10,2017.05,0
161,2025-01-14,OFSS,1741.0,125,1,10524.80,10692.85,10747.1,10927.75,11181.45,0
162,2025-01-14,OIL,1556.0,5,3,443.65,453.40,465.15,463.10,472.90,3
163,2025-01-14,ONGC,7506.0,1.25,0,255.66,257.96,260.37,260.46,262.46,1
164,2025-01-14,PAGEIND,1858.0,250,0,null,46083.30,46141.25,46301.05,47077.50,1
165,2025-01-14,PAYTM,3976.0,10,1,768.95,789.05,817.9,808.40,826.80,0
166,2025-01-14,PEL,2654.0,10,3,949.10,967.70,1026.05,987.55,1007.20,0
167,2025-01-14,PERSISTENT,2790.0,50,1,5841.15,5944.25,5880.1,6044.05,6151.85,0
168,2025-01-14,PETRONET,1127.0,2.5,2,312.15,316.85,325.5,321.80,326.70,0
169,2025-01-14,PFC,10029.0,5,1,394.30,403.55,417.4,412.80,422.55,0
170,2025-01-14,PIDILITIND,1490.0,10,3,2774.65,2800.25,2808.95,2815.65,2833.70,0
171,2025-01-14,PIIND,4160.0,25,3,3362.65,3421.55,3463.2,3472.00,3520.80,0
172,2025-01-14,PNB,4722.0,0.5,3,96.22,97.17,98.41,98.22,99.12,0
173,2025-01-14,POLICYBZR,2615.0,25,1,1621.95,1673.30,1743.85,1722.45,1771.40,0
