,Date,0,1,2,3,4,5,6,7,8,9
110,2024-11-27,M&M,37822.0,25,0,2981.85,3029.65,3000.0,3076.65,3132.50,3
111,2024-11-27,M&MFIN,1476.0,2.5,0,264.60,268.80,272.5,272.55,277.85,0
112,2024-11-27,MANAPPURAM,1353.0,1.25,0,151.54,153.74,155.16,155.54,158.34,0
113,2024-11-27,MARICO,2413.0,5,3,616.25,625.30,651.8,633.75,646.30,1
114,2024-11-27,MARUTI,11316.0,50,1,10745.05,10849.45,11070.0,10944.35,11034.45,0
115,2024-11-27,MCX,2773.0,50,1,5960.30,6040.25,6117.85,6125.90,6231.15,0
116,2024-11-27,METROPOLIS,1290.0,10,0,2130.70,2147.40,2169.0,2162.50,2186.85,2
117,2024-11-27,MFSL,923.0,10,0,1156.50,1174.30,1184.0,1193.95,1211.60,2
118,2024-11-27,MGL,2350.0,10,0,1134.00,1152.45,1178.95,1168.45,1187.55,0
119,2024-11-27,MOTHERSON,1801.0,1.25,1,161.87,164.37,163.72,166.67,168.72,0
120,2024-11-27,MPHASIS,1252.0,25,1,2933.90,2982.35,3025.0,3022.10,3074.65,4
121,2024-11-27,MRF,3357.0,250,0,123000.30,123693.00,123731.60,123805.30,null,2
122,2024-11-27,MUTHOOTFIN,2061.0,10,0,1912.75,1928.80,1936.1,1947.55,1967.35,1
123,2024-11-27,NATIONALUM,3796.0,1.25,0,239.63,245.48,246.77,247.73,249.98,0
124,2024-11-27,NAUKRI,4062.0,50,0,8052.45,8167.10,8334.3,8247.05,8353.35,5
125,2024-11-27,NAVINFLUOR,1164.0,25,1,3356.85,3426.50,3496.0,3471.40,3521.00,2
126,2024-11-27,NESTLEIND,2639.0,10,1,2227.40,2246.40,2272.0,2265.30,2286.15,0
127,2024-11-27,NMDC,874.0,2.5,3,217.62,223.12,227.75,227.02,231.72,1
128,2024-11-27,NTPC,5420.0,2.5,3,353.15,358.00,369.75,363.25,366.95,0
129,2024-11-27,OBEROIRLTY,3308.0,10,0,1949.30,1967.65,1985.0,1986.85,2007.65,1
130,2024-11-27,OFSS,1770.0,125,1,11455.20,11679.00,11780.0,11856.90,12098.80,4
131,2024-11-27,ONGC,4624.0,2,0,248.05,249.85,254.8,252.45,254.65,0
132,2024-11-27,PAGEIND,3359.0,250,3,,,45298.90,,,1
133,2024-11-27,PEL,13084.0,10,0,1170.90,1189.60,1185.0,1207.45,1228.10,5
134,2024-11-27,PERSISTENT,4369.0,50,0,5864.30,5959.00,5914.0,6048.25,6192.80,4
135,2024-11-27,PETRONET,4079.0,1.5,0,323.65,326.25,327.3,326.25,328.25,0
136,2024-11-27,PFC,2642.0,5,1,467.80,477.60,491.5,485.20,494.20,1
137,2024-11-27,PIDILITIND,1627.0,10,3,2934.75,2969.80,3047.85,2988.50,3006.75,0
138,2024-11-27,PIIND,2961.0,25,2,3998.10,4062.40,4096.55,4111.40,4154.20,0
139,2024-11-27,PNB,2230.0,0.5,0,102.44,103.44,104.45,104.54,105.34,2
140,2024-11-27,POLYCAB,3280.0,50,0,6763.05,6846.75,7040.0,6926.10,7067.55,1
141,2024-11-27,POWERGRID,2638.0,2.5,0,334.15,338.05,338.5,341.85,347.70,1
142,2024-11-27,PVRINOX,2294.0,10,3,1451.15,1471.45,1511.55,1489.15,1510.25,0
143,2024-11-27,RAMCOCEM,1758.0,5,0,947.35,952.60,978.15,961.50,973.40,2
144,2024-11-27,RBLBANK,2052.0,1.25,1,154.12,156.47,157.66,158.32,160.17,0
145,2024-11-27,RECLTD,3358.0,5,0,507.85,517.50,526.0,524.55,533.75,0
146,2024-11-27,RELIANCE,18430.0,5,0,1275.30,1284.75,1293.4,1293.20,1303.00,0
147,2024-11-27,SAIL,2846.0,1.25,4,112.74,114.04,116.02,115.89,118.29,0
148,2024-11-27,SBICARD,2497.0,2.5,0,691.90,696.20,706.0,701.60,706.20,0
149,2024-11-27,SBILIFE,2265.0,10,1,1472.65,1491.85,1507.0,1509.55,1529.95,0
150,2024-11-27,SBIN,13314.0,5,0,826.65,835.85,834.85,843.70,853.65,0
151,2024-11-27,SHREECEM,1622.0,125,0,24333.85,24526.75,25440.0,24841.65,24926.85,4
152,2024-11-27,SHRIRAMFIN,5007.0,25,1,2936.45,2986.65,3021.0,3031.65,3079.25,0
153,2024-11-27,SIEMENS,38047.0,50,0,7257.90,7353.40,7429.0,7449.50,7560.20,4
154,2024-11-27,SRF,1551.0,10,0,2190.35,2214.40,2292.4,2234.15,2252.20,0
155,2024-11-27,SUNPHARMA,2685.0,10,2,1728.45,1749.75,1751.3,1768.80,1789.80,0
156,2024-11-27,SUNTV,792.0,5,2,713.00,727.45,751.9,743.20,752.45,3
157,2024-11-27,SYNGENE,962.0,5,0,894.70,905.75,918.9,913.60,924.65,3
158,2024-11-27,TATACHEM,1188.0,10,3,1046.00,1071.50,1105.1,1090.30,1108.65,0
159,2024-11-27,TATACOMM,2093.0,10,3,1728.90,1751.55,1760.0,1770.15,1792.50,1
160,2024-11-27,TATACONSUM,2510.0,5,1,945.75,954.60,961.25,963.80,973.75,0
161,2024-11-27,TATAMOTORS,14189.0,5,1,766.05,776.30,785.2,785.20,794.65,0
162,2024-11-27,TATAPOWER,3202.0,2.5,0,404.10,408.85,417.4,413.00,417.60,0
163,2024-11-27,TATASTEEL,5910.0,1.25,1,139.06,142.01,144.64,144.36,146.31,0
164,2024-11-27,TCS,10262.0,25,0,4275.70,4330.60,4332.95,4373.20,4419.25,3
165,2024-11-27,TECHM,2970.0,10,0,1734.60,1751.25,1754.0,1769.40,1786.35,3
166,2024-11-27,TITAN,2881.0,25,1,3231.40,3278.70,3292.0,3319.85,3374.40,0
